no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
176,3,0.53,0.783,1,0.884540876,1,0.0388,0.0227,2.11E-06,0.0987,0.397,0.613546141,1
177,3,0.577,0.851,1,0.900942787,1,0.0339,0.0197,0.000462,0.118,0.396,0.623043878,1
178,3,0.645,0.891,1,0.938912566,0,0.0387,0.0932,3.88E-06,0.379,0.568,0.598894408,1
179,3,0.605,0.8,1,0.84256748,0,0.0545,0.155,0.0562,0.121,0.836,0.614039966,1
180,3,0.575,0.89,1,0.921761591,1,0.0416,0.034,3.23E-06,0.047,0.206,0.613881751,1
181,3,0.699,0.883,1,0.920289294,0,0.219,0.0288,0,0.817,0.499,0.613498197,1
182,3,0.723,0.806,0,0.874751388,1,0.0521,0.00666,0.876,0.276,0.539,0.599186867,1
183,3,0.583,0.695,1,0.865788454,1,0.0423,0.0141,0,0.0527,0.224,0.5028335,1
184,3,0.637,0.827,1,0.870515304,0,0.0629,0.046,0.103,0.575,0.339,0.61380504,1
185,3,0.414,0.857,0,0.89828232,0,0.0808,0.0287,0.00574,0.343,0.348,0.613800245,1
186,3,0.58,0.846,1,0.929329717,0,0.0573,0.00537,6.62E-06,0.145,0.366,0.623264422,1
187,3,0.651,0.898,1,0.875965388,1,0.0391,0.152,0,0.11,0.599,0.604340864,1
188,3,0.556,0.885,1,0.899134702,1,0.0321,0.00786,1.95E-06,0.138,0.771,0.604081965,1
189,3,0.347,0.772,1,0.891024151,0,0.0549,0.0597,0.0333,0.115,0.035,0.92109351,1
190,3,0.646,0.814,0,0.886168152,1,0.0433,0.0583,6.42E-05,0.118,0.326,0.613579702,1
191,3,0.639,0.795,1,0.912307891,1,0.0416,0.0246,0.000324,0.509,0.454,0.613747507,1
192,3,0.597,0.736,1,0.80232468,0,0.0309,0.00296,0.921,0.0914,0.172,0.61454338,1
193,3,0.88,0.821,1,0.937879375,0,0.118,0.0197,0.661,0.234,0.575,0.613239299,1
194,3,0.542,0.795,1,0.922743123,1,0.0379,0.0664,2.89E-06,0.313,0.251,0.618283024,1
195,3,0.51,0.831,1,0.887020535,0,0.0606,0.0435,3.14E-06,0.346,0.376,0.61380504,1
196,3,0.696,0.652,0,0.827302079,0,0.0461,0.00326,0.67,0.0894,0.13,0.604005255,1
197,3,0.59,0.821,0,0.864936071,0,0.0693,0.158,0.00022,0.199,0.117,0.618609044,1
198,3,0.631,0.871,1,0.856308924,1,0.0585,0.000635,0.00775,0.545,0.293,0.59940741,1
199,3,0.529,0.955,1,0.936717035,0,0.0794,0.0344,4.55E-05,0.353,0.0893,0.604038816,1
200,3,0.518,0.911,1,0.909363296,1,0.086,0.00148,0,0.516,0.126,0.613752301,1
201,4,0.642,0.764,1,0.829497611,0,0.0457,0.1,0.32,0.0731,0.704,0.502862266,1
202,4,0.731,0.743,1,0.699263851,0,0.0506,0.0696,0.0045,0.0796,0.97,0.422143487,1
203,4,0.684,0.882,1,0.762030221,1,0.118,0.152,0.0225,0.313,0.758,0.43221176,1
204,4,0.782,0.922,1,0.899573809,0,0.0497,0.00655,0.0118,0.0728,0.761,0.498695919,1
205,4,0.745,0.84,0,0.832545525,1,0.0692,0.0654,0.104,0.0446,0.9,0.594426013,1
206,4,0.687,0.958,1,0.887433811,1,0.118,0.0561,0.138,0.0886,0.797,0.758840902,1
207,4,0.61,0.752,1,0.872865814,0,0.0389,0.294,0.0755,0.116,0.832,0.43147342,1
208,4,0.55,0.776,0,0.879736536,1,0.236,0.0893,0.000182,0.176,0.932,0.981632594,1
209,4,0.658,0.895,1,0.826940462,0,0.0704,0.0669,0.00312,0.361,0.855,0.594085609,1
210,4,0.775,0.898,1,0.821412889,1,0.0949,0.028,0.000269,0.0646,0.776,0.527323374,1
211,4,0.771,0.807,1,0.841973395,1,0.058,0.0107,0.0135,0.568,0.707,0.469867099,1
212,4,0.849,0.781,0,0.762650136,0,0.0803,0.0946,0.057,0.0681,0.817,0.551400928,1
